_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
632c21698e3e35732d675313||83.2|92.16|97|77.61|416,20,6,2|time|60|-1|5|60|0|99.18|false|false|english|none|normal|false|false|false||1663836521000
632c209b8e3e35732d674dd0||85.2|90.45|102.6|78.18|426,28,6,4|time|60|-1|2|60|0|36.48|false|false|english|none|normal|false|false|false||1663836315000
632c20378e3e35732d6300bc||78.99|93.16|93.58|74.17|395,17,1,6|time|60|-1|11|60.01|0|194.21|false|false|english|none|normal|false|false|false||1663836215000
632c1ecc8e3e35732d62f754||87|91.05|102.8|80.54|435,27,5,4|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1663835852000
632c1e608e3e35732d62f4b1||86.79|92.26|103.38|78.91|434,24,3,2|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1663835744000
632c1e228e3e35732d62f321||86|91.34|101.6|76.63|430,25,5,2|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1663835682000
632c1ddf8e3e35732d62f18e||89.39|90.62|106.58|80.6|447,29,4,6|time|60|-1|1|60.01|0|53.04|false|false|english|none|normal|false|false|false||1663835615000
632c1d4c8e3e35732d62edd2||86.99|89.94|103.38|77.67|435,32,6,2|time|60|-1|1|60.01|0|0.43|false|false|english|none|normal|false|false|false||1663835468000
632c1cf48e3e35732d5ea0dd||88.59|90.49|104.98|80.09|443,28,5,4|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1663835380000
632c1caf8e3e35732d5e9f18||91.78|95.04|100.78|79.24|459,16,0,2|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1663835311000
632c1c6f8e3e35732d5e9d72||85.8|90.77|104|78.86|429,28,4,6|time|60|-1|2|60|0|28.64|false|false|english|none|normal|false|false|false||1663835247000
632c1bd68e3e35732d5e99dc||85.99|92.64|100.58|80.15|430,22,2,2|time|60|-1|1|60.01|0|33.17|false|false|english|none|normal|false|false|false||1663835094000
632c1b418e3e35732d5e95d0||79.99|90.08|96.78|76.06|400,27,7,3|time|60|-1|2|60.01|0|47.44|false|false|english|none|normal|false|false|false||1663834945000
632c1ac38e3e35732d5e9296||84.99|92.94|99.18|77.93|425,18,5,4|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1663834819000
632af0f55094b44afddd9b05||92.58|95.12|102.38|75.75|463,14,2,3|time|60|-1|2|60.01|0|4.26|false|false|english|none|normal|false|false|false||1663758581000
632af0b05094b44afddd9943||85.79|93.71|98.58|80.75|429,18,3,2|time|60|-1|1|60.01|0|6.98|false|false|english|none|normal|false|false|false||1663758512000
632af0305094b44afddd9634||82.19|91.99|97.38|78.89|411,24,1,7|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1663758384000
632aeff25094b44afddd946e||82.59|91.63|97.98|74.49|413,25,2,4|time|60|-1|1|60.01|0|33.34|false|false|english|none|normal|false|false|false||1663758322000
632aef6e5094b44afddd90f4||94.38|93.06|106.58|79.13|472,19,7,2|time|60|-1|1|60.01|0|0.93|false|false|english|none|normal|false|false|false||1663758190000
632aeea15094b44afddb67b2||83.57|91.42|100.17|73.78|418,27,2,4|time|60|-1|2|60.02|0|31|false|false|english|none|normal|false|false|false||1663757985000
632aee415094b44afdd94094||83.19|90.85|100.58|77.15|416,27,4,2|time|60|-1|2|60.01|0|3.32|false|false|english|none|normal|false|false|false||1663757889000
632aedf95094b44afdd93ec2||83.19|92.16|96.98|79.14|416,21,5,1|time|60|-1|4|60.01|0|42.53|false|false|english|none|normal|false|false|false||1663757817000
632a8b6f5094b44afd5f0788||87.79|93.95|99.18|79.77|439,18,3,2|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1663732591000
