Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6229aedbe3ce2f9a993fef93,,59.19,96.06,65.99,69.85,"296,8,0,0",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646898907000
6229ae93e3ce2f9a993bbba8,,49.59,93.29,59.59,69.92,"248,12,1,1",time,60,-1,1,60.01,0,36.22,false,false,english_1k,none,normal,false,false,false,,1646898836000
6229ae2be3ce2f9a993bb951,,52.78,93.15,64.18,72.74,"264,12,1,0",time,60,-1,0,60.02,0,0,false,false,english_1k,none,normal,false,false,false,,1646898731000
6229adc7e3ce2f9a993bb6eb,,57.19,95.33,64.19,66.95,"286,9,0,0",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646898632000
62285eafb75ef5d1e01a0b08,,49.4,92.03,60.2,67.15,"247,16,0,0",time,60,-1,0,60,0,0,false,false,english_1k,none,normal,false,false,false,,1646812848000
62285e70b75ef5d1e0122ce8,,45.99,90.31,57.79,67.29,"230,16,2,0",time,60,-1,3,60.01,0,20.4,false,false,english_1k,none,normal,false,false,false,,1646812785000
62285e15b75ef5d1e0122abc,,41.79,92.25,54.19,71,"209,12,0,1",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646812694000
62285d1ab75ef5d1e00a47fc,,49.39,92.05,60.39,69.02,"247,14,0,0",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646812442000
62285cceb75ef5d1e00a463c,,43.19,87.26,62.78,70.74,"216,24,2,0",time,60,-1,1,60.02,1,2.15,false,false,english_1k,none,normal,false,false,false,,1646812367000
62285c83b75ef5d1e00a448d,,52.59,93.4,63.59,68.75,"263,12,1,0",time,60,-1,0,60.01,0,0,false,false,english_1k,none,normal,false,false,false,,1646812292000
